author_first,author_unit_first,unit_city_code,ym,coauthor,class_num,mag_classn,class_num_num,mag_classn_num,author_first.1,unit_city_code.1,city_unitn,city_units
万广华,云南财经大学;,5301.0,2013-05-01;2008-12-01;2008-04-01;2012-04-01;2008-10-01;2008-04-01;, 张茵; M.S.Qureshi; 伏润民; 吴一平; 张藕香;,F;F;F;F;F;D;D;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,1,云南财经大学;
万广华,西北农林科技大学;,6104.0,2006-06-01;2004-08-01;, 张茵;,F;F;,经济与管理;经济与管理;,1,1,,,1,西北农林科技大学;
云鹤,中山大学;,4401.0,2004-07-01;, 刘涛; 舒元;,F;F;,经济与管理;,1,1,,,1,中山大学;
云鹤,浙江理工大学;,3301.0,2005-06-01;2012-01-01;2008-07-01;, 舒元; 胡剑锋; 吕品; 舒元;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,浙江理工大学;
付强,山东大学;,3701.0,2017-03-01;,,F;,经济与管理;,1,1,,,1,山东大学;
付强,重庆大学;,5000.0,2013-04-01;, 刘星; 计方;,F;,经济与管理;,1,1,,,1,重庆大学;
付文林,上海财经大学;,3100.0,2014-05-01;2012-05-01;, 赵永辉; 沈坤荣;,F;F;F;F;,经济与管理;经济与管理;,1,1,,,1,上海财经大学;
付文林,南京大学;,3201.0,2011-07-01;, 耿强;,F;F;F;,经济与管理;,1,1,,,1,南京大学;
代谦,厦门大学;,3502.0,2015-10-01;, 别朝霞;,K;D;,经济与管理;,2,1,,,1,厦门大学;
代谦,武汉大学;,4201.0,2015-05-01;2010-06-01;2009-03-01;2006-04-01;, 何祚宇; 李唐; 李唐; 别朝霞;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1,,,1,武汉大学;
任寿根,南京大学;,3201.0,2001-03-01;,,F;,经济与管理;,1,1,,,1,南京大学;
任寿根,江西财经大学;,3601.0,2003-02-01;2002-01-01;,,F;F;F;,经济与管理;经济与管理;,1,1,,,1,江西财经大学;
